state,action,reward,next_state
48,1,-0.1,58
58,1,-0.1,68
68,0,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,1,-0.1,98
98,0,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,1,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,2,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,3,-0.1,29
29,2,-0.1,28
28,3,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,0,-0.1,78
78,0,-0.1,68
68,2,-0.1,67
67,1,-0.1,77
77,3,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,1,-0.1,10
10,2,-0.1,10
10,2,-0.1,10
10,3,-0.1,10
10,1,-0.1,20
20,2,-0.1,20
20,1,-0.1,30
30,1,-0.1,30
30,1,-0.1,30
30,3,-0.1,31
31,2,-0.1,30
30,2,-0.1,30
30,0,-0.1,20
20,2,-0.1,20
20,1,-0.1,30
30,2,-0.1,30
30,2,-0.1,30
30,3,-0.1,31
31,2,-0.1,30
30,1,-0.1,30
30,3,-0.1,31
31,3,-0.1,32
32,2,-5.0,32
32,2,-5.0,32
32,3,-5.0,32
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,2,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,2,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,3,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,1,1.0,99
99,0,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,3,-0.1,26
26,3,-0.1,26
26,2,-0.1,25
25,1,-0.1,35
35,0,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,3,-0.1,39
39,2,-0.1,38
38,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,1,1.0,99
99,0,1.0,99
0,1,-0.1,10
10,1,-0.1,20
20,0,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,1,-0.1,33
33,0,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,2,-0.1,77
77,3,-0.1,78
78,3,-0.1,79
79,0,-0.1,69
69,1,-0.1,79
79,1,-0.1,89
89,1,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,2,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,3,-0.1,13
13,2,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,2,-0.1,12
12,0,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,2,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,3,-0.1,13
13,1,-0.1,23
23,2,-0.1,23
23,1,-0.1,33
33,1,-0.1,33
33,1,-0.1,33
33,2,-0.1,32
32,2,-5.0,32
32,0,-5.0,32
32,3,-5.0,32
0,3,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,1,-0.1,35
35,0,-0.1,25
25,0,-0.1,15
15,1,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,0,-0.1,28
28,1,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,2,-0.1,67
67,2,-0.1,67
67,1,-0.1,77
77,3,-0.1,78
78,1,-0.1,88
88,3,-0.1,89
89,1,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,2,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,2,1.0,99
99,2,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,2,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,0,-0.1,26
26,0,-0.1,16
16,1,-0.1,26
26,1,-0.1,36
36,0,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,3,-0.1,29
29,0,-0.1,19
19,3,-0.1,19
19,0,-0.1,9
9,1,-0.1,19
19,0,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,3,-0.1,29
29,1,-0.1,39
39,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,3,-0.1,59
59,0,-0.1,59
59,1,-0.1,69
69,1,-0.1,79
79,1,-0.1,89
89,1,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,0,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,2,-0.1,8
8,1,-0.1,18
18,0,-5.0,18
18,2,-5.0,18
18,0,-5.0,18
0,3,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,2,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,0,-0.1,19
19,0,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,2,-0.1,28
28,1,-0.1,38
38,0,-0.1,28
28,0,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,2,-0.1,7
7,3,-0.1,8
8,1,-0.1,18
18,2,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,2,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,1,-0.1,7
7,2,-0.1,6
6,1,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,1,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,1,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,2,-0.1,12
12,2,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,2,-0.1,12
12,2,-0.1,12
12,0,-0.1,2
2,2,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,0,-0.1,3
3,2,-0.1,2
2,3,-0.1,3
3,2,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,0,-0.1,3
3,3,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
0,0,-0.1,0
0,1,-0.1,10
10,3,-0.1,10
10,2,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,3,-0.1,3
3,3,-0.1,3
3,1,-0.1,13
13,0,-0.1,3
3,3,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,3,-0.1,3
3,3,-0.1,3
3,2,-0.1,2
2,0,-0.1,2
2,3,-0.1,3
3,2,-0.1,2
2,2,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,1,-0.1,10
10,3,-0.1,10
10,1,-0.1,20
20,2,-0.1,20
20,1,-0.1,30
30,3,-0.1,31
31,1,-0.1,41
41,3,-0.1,41
41,1,-0.1,51
51,2,-0.1,50
50,0,-0.1,50
50,1,-0.1,60
60,1,-0.1,70
70,0,-0.1,60
60,3,-0.1,61
61,2,-5.0,61
61,0,-5.0,61
61,0,-5.0,61
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,2,-0.1,12
12,3,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,2,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,2,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,3,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,2,-0.1,77
77,1,-0.1,77
77,2,-0.1,77
77,3,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,2,1.0,99
99,0,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,2,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,2,-0.1,8
8,1,-0.1,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,1,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,1,-0.1,33
33,0,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,0,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,3,-0.1,59
59,1,-0.1,69
69,1,-0.1,79
79,1,-0.1,89
89,1,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,2,1.0,99
0,3,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,2,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,0,-0.1,13
13,2,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,1,-0.1,33
33,0,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,1,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,0,-0.1,8
8,3,-0.1,9
9,3,-0.1,9
9,3,-0.1,9
9,2,-0.1,8
8,0,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,0,-0.1,68
68,1,-0.1,78
78,3,-0.1,79
79,1,-0.1,89
89,0,-0.1,79
79,1,-0.1,89
89,1,-0.1,99
99,1,1.0,99
99,1,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,0,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,2,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,2,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,2,-0.1,5
5,1,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,2,-0.1,28
28,1,-0.1,38
38,0,-0.1,28
28,1,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,0,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,3,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,0,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,3,1.0,99
99,0,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,0,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,0,-0.1,5
5,3,-0.1,6
6,3,-0.1,7
7,2,-0.1,6
6,2,-0.1,5
5,3,-0.1,6
6,1,-0.1,16
16,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,2,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,0,-0.1,9
9,1,-0.1,19
19,3,-0.1,19
19,3,-0.1,19
19,1,-0.1,29
29,2,-0.1,28
28,1,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,2,-0.1,88
88,0,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,0,-0.1,88
88,2,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,1,1.0,99
99,0,1.0,99
0,1,-0.1,10
10,3,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,3,-0.1,3
3,0,-0.1,3
3,2,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,2,-0.1,12
12,2,-0.1,12
12,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
12,0,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,2,-0.1,23
23,3,-0.1,24
24,0,-0.1,24
24,2,-0.1,23
23,1,-0.1,33
33,2,-0.1,32
32,2,-5.0,32
32,1,-5.0,32
32,2,-5.0,32
0,2,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,3,-0.1,69
69,1,-0.1,79
79,1,-0.1,89
89,1,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,3,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,2,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,2,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,2,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,0,-0.1,8
8,3,-0.1,9
9,2,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,3,-0.1,39
39,3,-0.1,39
39,1,-0.1,39
39,2,-0.1,38
38,2,-0.1,38
38,2,-0.1,38
38,3,-0.1,39
39,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,0,-0.1,38
38,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,1,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,0,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,0,-0.1,9
9,1,-0.1,19
19,2,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,0,-0.1,5
5,3,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,2,-0.1,38
38,2,-0.1,38
38,1,-0.1,48
48,3,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,2,-0.1,77
77,3,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,0,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,3,-0.1,9
9,1,-0.1,19
19,3,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,3,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,1,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,2,-0.1,5
5,1,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,1,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,2,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,1,-0.1,35
35,0,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,1,-0.1,26
26,2,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
16,1,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,1,-0.1,7
7,3,-0.1,8
8,0,-0.1,8
8,1,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
