rho,step,seed_count,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem
0.05,150,5,-2.0406000000000004,0.0,0.0,0.0,0.0,0.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0
0.05,300,5,-2.0226300000000004,0.0030398601941537626,0.0013594668072447044,0.0,0.0,0.0,-2.00565,3.1401849173675503e-16,1.4043333874306804e-16,0.0,0.0,0.0
0.05,450,5,-1.9936200000000006,0.0006037383539248519,0.0002699999999999592,0.03,0.0,0.0,-2.047860000000001,0.004225724789903034,0.00188980157688584,0.0,0.0,0.0
0.05,600,5,-1.9068700000000007,0.004886409724941124,0.0021852688621768804,0.09,0.0,0.0,-0.04411999999999995,0.004593691326155906,0.0020543612145871525,0.9,0.0,0.0
0.05,750,5,-1.6101300000000005,0.014312127724416075,0.006400578098890743,0.278,0.008366600265340744,0.003741657386773936,-0.04501999999999996,0.004593691326155906,0.0020543612145871525,0.9,0.0,0.0
0.05,900,5,-1.3886900000000004,0.02009270389967484,0.008985730354289612,0.368,0.008366600265340763,0.0037416573867739447,-0.04456999999999996,0.004593691326155907,0.0020543612145871534,0.9,0.0,0.0
0.05,1050,5,-1.2726500000000005,0.018336064190550942,0.008200137193974312,0.42800000000000005,0.008366600265340762,0.003741657386773944,-0.030519999999999915,0.004593691326155909,0.002054361214587154,0.9099999999999999,1.2412670766236366e-16,5.551115123125783e-17
0.05,1200,5,-0.9870400000000001,0.015555561706347976,0.0069566586807173385,0.574,0.0054772255750516665,0.0024494897427831805,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,1350,5,-0.7018400000000002,0.012209954954871828,0.005460457856260757,0.674,0.005477225575051666,0.00244948974278318,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,1500,5,-0.45932000000000023,0.012493478298696481,0.0055872533502607504,0.764,0.005477225575051666,0.00244948974278318,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,1650,5,-0.43592000000000014,0.01045332482992853,0.004674868982121324,0.7780000000000001,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,1800,5,-0.2868700000000001,0.010129017721378511,0.004529834434060475,0.828,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,1950,5,-0.26907000000000014,0.011357244384092446,0.005079114095981688,0.868,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,2100,5,-0.1876700000000001,0.01012901772137851,0.004529834434060474,0.8880000000000001,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,2250,5,-0.19892000000000012,0.01012901772137849,0.0045298344340604655,0.898,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,2400,5,-0.1596500000000001,0.010229002883956987,0.004574549158113843,0.908,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,2550,5,-0.1920500000000001,0.011564276890493415,0.005171701847554633,0.8880000000000001,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,2700,5,-0.1618900000000001,0.011743423691581597,0.005251818732591595,0.922,0.004472135954999584,0.002000000000000002,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,2850,5,-0.1492900000000001,0.01174342369158161,0.005251818732591601,0.922,0.004472135954999584,0.002000000000000002,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.05,3000,5,-0.09814000000000009,0.0117434236915816,0.005251818732591596,0.922,0.004472135954999584,0.002000000000000002,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,150,5,-2.0406000000000004,0.0,0.0,0.0,0.0,0.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0
0.1,300,5,-2.0226300000000004,0.003039860194153763,0.0013594668072447046,0.0,0.0,0.0,-2.00565,3.1401849173675503e-16,1.4043333874306804e-16,0.0,0.0,0.0
0.1,450,5,-1.9740700000000004,0.0006037383539248768,0.00026999999999997024,0.03,0.0,0.0,-2.0478600000000005,0.004225724789903034,0.00188980157688584,0.0,0.0,0.0
0.1,600,5,-1.9070200000000004,0.00488640972494106,0.002185268862176852,0.09,0.0,0.0,-0.04411999999999995,0.004593691326155906,0.0020543612145871525,0.9,0.0,0.0
0.1,750,5,-1.5905800000000008,0.01431212772441598,0.006400578098890701,0.278,0.008366600265340743,0.0037416573867739356,-0.045019999999999956,0.004593691326155906,0.0020543612145871525,0.9,0.0,0.0
0.1,900,5,-1.3964200000000004,0.0197768994030917,0.00884449828989761,0.378,0.008366600265340762,0.003741657386773944,-0.04456999999999996,0.004593691326155907,0.0020543612145871534,0.9,0.0,0.0
0.1,1050,5,-1.2821800000000005,0.018044271944304212,0.008069643734391303,0.438,0.008366600265340762,0.003741657386773944,-0.030519999999999915,0.004593691326155909,0.002054361214587154,0.9099999999999999,1.2412670766236366e-16,5.551115123125783e-17
0.1,1200,5,-0.9448400000000003,0.015555561706347995,0.006956658680717347,0.594,0.005477225575051666,0.00244948974278318,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,1350,5,-0.7680900000000003,0.012209954954871847,0.005460457856260765,0.664,0.0054772255750516665,0.0024494897427831805,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,1500,5,-0.46484000000000025,0.010834285855560611,0.0048452399321395985,0.7639999999999999,0.005477225575051666,0.00244948974278318,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,1650,5,-0.3650500000000001,0.010229002883956954,0.004574549158113828,0.798,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,1800,5,-0.3420200000000001,0.010129017721378501,0.004529834434060471,0.828,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,1950,5,-0.28122000000000014,0.010129017721378511,0.004529834434060475,0.8480000000000001,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,2100,5,-0.1602500000000001,0.011860965390726006,0.005304384978487141,0.8880000000000001,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,2250,5,-0.19292000000000012,0.011357244384092472,0.005079114095981699,0.8880000000000001,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,2400,5,-0.1973700000000001,0.010129017721378522,0.004529834434060479,0.8880000000000001,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,2550,5,-0.16427000000000017,0.010129017721378522,0.004529834434060479,0.898,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,2700,5,-0.15724000000000005,0.0117434236915816,0.005251818732591596,0.922,0.004472135954999583,0.0020000000000000018,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,2850,5,-0.1522900000000001,0.0117434236915816,0.005251818732591596,0.922,0.004472135954999583,0.0020000000000000018,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.1,3000,5,-0.10949000000000006,0.0117434236915816,0.005251818732591596,0.932,0.004472135954999534,0.0019999999999999797,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,150,5,-2.0406000000000004,0.0,0.0,0.0,0.0,0.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0
0.3,300,5,-2.0235300000000005,0.003039860194153641,0.00135946680724465,0.0,0.0,0.0,-2.00565,3.1401849173675503e-16,1.4043333874306804e-16,0.0,0.0,0.0
0.3,450,5,-1.9993400000000006,0.00020124611797490928,8.999999999996789e-05,0.03,0.0,0.0,-1.7966400000000005,0.005471448619881393,0.00244690620989044,0.0,0.0,0.0
0.3,600,5,-1.9013700000000007,0.004886409724941064,0.0021852688621768535,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,-0.04411999999999995,0.004593691326155906,0.0020543612145871525,0.9,0.0,0.0
0.3,750,5,-1.5751800000000007,0.014312127724416063,0.006400578098890738,0.308,0.008366600265340762,0.003741657386773944,-0.045019999999999956,0.004593691326155906,0.0020543612145871525,0.9,0.0,0.0
0.3,900,5,-1.4027200000000009,0.019776899403091693,0.008844498289897607,0.358,0.008366600265340762,0.003741657386773944,-0.04456999999999996,0.004593691326155907,0.0020543612145871534,0.9,0.0,0.0
0.3,1050,5,-1.2775800000000006,0.01804427194430411,0.008069643734391257,0.42800000000000005,0.008366600265340763,0.0037416573867739447,-0.030519999999999915,0.004593691326155909,0.002054361214587154,0.9099999999999999,1.2412670766236366e-16,5.551115123125783e-17
0.3,1200,5,-0.9895400000000002,0.016898387497036503,0.007557188630701229,0.574,0.005477225575051666,0.00244948974278318,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,1350,5,-0.7396900000000003,0.012209954954871883,0.005460457856260781,0.654,0.0054772255750516665,0.0024494897427831805,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,1500,5,-0.45309000000000016,0.011944371059206064,0.005341685127373185,0.768,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,1650,5,-0.3756700000000001,0.010129017721378513,0.004529834434060476,0.788,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,1800,5,-0.32502000000000014,0.010129017721378536,0.004529834434060486,0.818,0.008366600265340711,0.0037416573867739213,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,1950,5,-0.20405000000000015,0.01186096539072599,0.005304384978487134,0.8779999999999999,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,2100,5,-0.1814000000000001,0.011860965390726003,0.005304384978487139,0.8779999999999999,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,2250,5,-0.1873900000000001,0.010130547862776226,0.00453051873409657,0.8880000000000001,0.008366600265340762,0.003741657386773944,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,2400,5,-0.1826200000000001,0.010129017721378534,0.004529834434060485,0.9179999999999999,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,2550,5,-0.1771000000000001,0.011860965390726003,0.005304384978487139,0.908,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,2700,5,-0.13754000000000013,0.01267075372659417,0.005666533331764669,0.9179999999999999,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,2850,5,-0.1460900000000001,0.011743423691581593,0.005251818732591593,0.9120000000000001,0.004472135954999583,0.0020000000000000018,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.3,3000,5,-0.1657900000000001,0.011743423691581604,0.005251818732591598,0.892,0.004472135954999583,0.0020000000000000018,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,150,5,-2.0406000000000004,0.0,0.0,0.0,0.0,0.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0
0.5,300,5,-2.0235300000000005,0.003039860194153641,0.00135946680724465,0.0,0.0,0.0,-2.00565,3.1401849173675503e-16,1.4043333874306804e-16,0.0,0.0,0.0
0.5,450,5,-1.9934200000000004,0.0006037383539248271,0.00026999999999994807,0.03,0.0,0.0,-2.0478600000000005,0.004225724789903034,0.00188980157688584,0.0,0.0,0.0
0.5,600,5,-1.9201200000000007,0.004886409724941119,0.0021852688621768783,0.09,0.0,0.0,-0.04411999999999995,0.004593691326155906,0.0020543612145871525,0.9,0.0,0.0
0.5,750,5,-1.5906300000000007,0.014312127724416089,0.00640057809889075,0.308,0.008366600265340763,0.0037416573867739447,-0.045019999999999956,0.004593691326155905,0.002054361214587152,0.9,0.0,0.0
0.5,900,5,-1.4177400000000007,0.019560176379573045,0.00874757680732221,0.358,0.008366600265340763,0.0037416573867739447,-0.04456999999999996,0.004593691326155907,0.0020543612145871534,0.9,0.0,0.0
0.5,1050,5,-1.2479800000000005,0.0180442719443041,0.008069643734391254,0.44800000000000006,0.008366600265340762,0.003741657386773944,-0.030519999999999915,0.004593691326155909,0.002054361214587154,0.9099999999999999,1.2412670766236366e-16,5.551115123125783e-17
0.5,1200,5,-0.9797400000000003,0.015555561706347976,0.0069566586807173385,0.584,0.005477225575051666,0.00244948974278318,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,1350,5,-0.6186900000000002,0.012209954954871887,0.005460457856260783,0.714,0.0054772255750516665,0.0024494897427831805,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,1500,5,-0.44940000000000024,0.011215279755761807,0.005015625584112128,0.7639999999999999,0.005477225575051666,0.00244948974278318,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,1650,5,-0.3654500000000001,0.01156427689049341,0.005171701847554631,0.798,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,1800,5,-0.35372000000000015,0.011357244384092451,0.0050791140959816905,0.808,0.008366600265340723,0.003741657386773927,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,1950,5,-0.23992000000000013,0.010129017721378511,0.004529834434060475,0.8779999999999999,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,2100,5,-0.21187000000000014,0.011357244384092469,0.005079114095981698,0.868,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,2250,5,-0.20445000000000008,0.01186096539072601,0.0053043849784871425,0.8880000000000001,0.008366600265340762,0.003741657386773944,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,2400,5,-0.1821700000000001,0.010129017721378527,0.004529834434060482,0.8880000000000001,0.008366600265340762,0.003741657386773944,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,2550,5,-0.17227000000000012,0.010129017721378503,0.0045298344340604715,0.8880000000000001,0.008366600265340762,0.003741657386773944,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,2700,5,-0.16084000000000015,0.012670753726594165,0.0056665333317646675,0.908,0.008366600265340763,0.0037416573867739447,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
0.5,2850,5,-0.13464000000000007,0.011743423691581592,0.0052518187325915925,0.922,0.004472135954999583,0.0020000000000000018,0.0413800000000001,0.004593691326155906,0.0020543612145871525,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17
