alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,3e-05,0.1,5000,0.01,20,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,160.71049400499942,0.85,-1.0194940374527028,-1.0122372666275237,0.3249698444102816,1.0,-0.82274123760695,-0.8227412376069501,0.0,11.255241521195185,-229.64747409768975,17.6699433223143,11.510827363237803,4701.452896166107,3.448830164193823,2.615614404034753,0.0287445116978054,41
0.0005,3e-05,0.1,5000,0.03,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,90.73827470499964,0.82,-1.0148665867122342,-0.9936756024501892,0.2890903834640959,1.0,-0.82274123760695,-0.8227412376069501,0.0,0.5922400764675566,-112.76812060639502,-1.0948934603692857,0.9225918994526684,4003.403529891657,4.297303738744898,3.682816999609385,0.03415076101119,48
0.0005,3e-05,0.1,5000,0.03,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,93.0678566279994,0.81,-1.0351433276835291,-0.9972814490534538,0.3053061919286275,1.0,-0.82274123760695,-0.8227412376069501,0.0,0.867108936677867,-96.87526801649226,-1.586435946755007,1.132805885493255,6159.785082187215,4.011200934774519,3.816015393403568,0.0332963963877741,49
0.0005,3e-05,0.1,5000,0.01,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,40.60253478999948,0.81,-1.0614494318217145,-1.038346110343366,0.340508168577606,1.0,-0.82274123760695,-0.8227412376069501,0.0,10.438698850494555,-223.252938408926,22.59608357635301,10.636053966510154,2846.673353360642,1.3584064586631053,2.225676375276904,0.0218910310987986,24
0.0005,3e-05,0.1,5000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,39.52000096200209,0.8,-1.011318114712329,-1.054912712641037,0.3561709124942924,1.0,-0.82274123760695,-0.8227412376069501,0.0,9.840329992246748,-224.68291778861976,22.39382951184717,10.071253973362303,2458.5757725358585,1.2221451790701672,2.33147028087118,0.0235277722712056,26
0.0005,3e-05,0.1,5000,0.03,10,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,46.42057463499805,0.79,-1.0513472621940738,-1.0723971246689719,0.33200444509948834,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.4288038472604496,-33.18743792303129,3.764366387645997,-0.3300766681189442,1000.0000000000001,1.2684664069663876,1.7036024728696055,0.007531494294573127,58
0.0005,3e-05,0.1,5000,0.01,10,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,116.03654923799968,0.79,-1.0628939051170248,-1.0909609050311744,0.3426001901844586,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.4482342839665358,-44.10291257851641,4.050145617321824,-0.3432634498374906,1000.0,0.7878101590563166,1.0590184767137012,0.0089307521776316,32
0.0005,3e-05,0.1,5000,0.01,20,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,159.9298298829999,0.78,-1.052937461667508,-1.0196638976361023,0.3485754244669995,1.0,-0.82274123760695,-0.8227412376069501,0.0,10.319282970659586,-221.62649795748604,18.343732992023227,10.623621020826548,3537.911841128808,3.833564143137138,2.517254895064529,0.0308915615902765,40
0.0005,3e-05,0.1,5000,0.003,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,44.89057366199995,0.77,-1.1369819688257017,-1.150517879063548,0.3693034739097804,1.0,-0.82274123760695,-0.8227412376069501,0.0,-2.814346431841725,-62.95530697459745,8.314527272473885,-2.734675119227053,1054.6218498490432,0.2100759498913252,1.5242696786771042,0.017903532174823,5
0.0005,3e-05,0.1,5000,0.03,20,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,70.70130283799517,0.76,-1.0653225347353108,-1.0853368226036233,0.35799093214455086,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.39695936830629863,-30.288610411234345,2.2231573153814708,-0.29747937949563796,999.9999999999999,2.460636985785143,2.5729157398848845,0.005479053046516481,72
0.0005,3e-05,0.1,5000,0.01,20,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,88.43755221199535,0.76,-1.0808291754101245,-1.0891412829597382,0.3392702570905538,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.356883842208521,-34.99507764694929,3.401173383764137,-0.25563660798999577,1000.0000000000001,1.4293382603189195,1.3241014030753913,0.0072153174100774735,60
0.0005,3e-05,0.1,5000,0.003,20,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,67.49657845099864,0.76,-1.123517786259001,-1.1170675720419745,0.3788444553013544,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.2408177914102207,-148.51728619735002,15.891426166254158,3.3825456421185383,1933.8267538001369,0.6238498365690544,1.9776659528664169,0.0181648655266453,13
0.0005,3e-05,0.1,5000,0.003,20,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,69.07127107699489,0.75,-1.0956027449612675,-1.1175960467958148,0.3524361568965111,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.7738646756737051,-56.41705856225244,5.325567731350183,-0.6721154884154837,1000.0,0.548442007016455,1.036581740497984,0.0091478031650727,22
0.0005,3e-05,0.1,5000,0.003,20,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,67.21598973000073,0.71,-1.199288131421086,-1.1772191713763993,0.4126234706807676,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.107694661152353,-146.31025862963867,16.15957244084992,3.25925305881922,1715.8475834672438,0.6377651756028493,1.9323772238338568,0.0193441172492189,14
0.0005,3e-05,0.1,5000,0.01,10,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,119.65371527800016,0.7,-1.0787436530336898,-1.0812858277380004,0.2230308080323268,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.8727611157831229,-1.5785730965807772,0.0807135784360869,-0.863496794841369,100.0,0.0054170951175148,0.1398349405336749,0.0442212520757762,35
0.0005,3e-05,0.1,5000,0.003,20,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,70.6008140749982,0.69,-1.0573646320450374,-1.080745960206943,0.2114865733061943,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.02686452385685,-1.74706035591568,0.1048259247022036,-1.0174596235947322,100.0,0.0080569880788089,0.1803523975525768,0.0436480105233603,25
0.0005,3e-05,0.1,5000,0.003,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,42.89520891500433,0.68,-1.2214095599353998,-1.2977150870217995,0.3843660194308512,1.0,-0.82274123760695,-0.8227412376069501,0.0,-2.7323862754797297,-64.93892456648999,8.863898060054126,-2.648853918839005,968.192248459989,0.1483185869206433,1.6162454700839952,0.0231914926977171,2
0.0005,3e-05,0.1,5000,0.01,20,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,189.5843034319996,0.65,-1.0190177211133369,-1.0548892413198028,0.2575940614131082,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.9047552008894776,-1.600496514145776,0.0775765214739715,-0.8960542988430555,100.0,0.0054958300037437,0.1315540876208145,0.0451023678280114,46
0.0005,3e-05,0.1,5000,0.003,10,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,46.32049093000387,0.65,-1.1156509526095713,-1.1079156880653565,0.2018869760739851,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.0130928477634724,-1.7768177969690926,0.1080635266380639,-1.0034535110390923,100.0,0.0039436184139087,0.1583581392043536,0.0429926719340966,12
0.0005,3e-05,0.1,5000,0.03,10,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,46.126262597004825,0.64,-1.0591974649008418,-1.0696476223718308,0.2656644495492182,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.8038450566204798,-1.4490193429472928,0.06592907804444206,-0.7951573325661583,99.99999999999999,0.002817204082216024,0.11561758535914766,0.04528094531496353,57
0.0005,3e-05,0.1,5000,0.003,10,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,38.78979804499977,0.63,-1.211770768983864,-1.2332643014698752,0.383885789105022,1.0,-0.82274123760695,-0.8227412376069501,0.0,-2.618080497555108,-60.29644542096811,8.104438126025856,-2.5392479498896043,1000.0000000000002,0.1517515983900295,1.5490848526263206,0.0212461768928468,10
0.0005,3e-05,0.1,5000,0.03,20,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,80.12035113199818,0.6,-1.0396350349670842,-1.063951774251752,0.29586795814434086,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.9532648767447951,-1.528403197918678,0.07784282140668625,-0.9447549760901203,100.00000000000001,0.011592792696666661,0.1571131935022702,0.045673339857205585,73
0.0005,3e-05,0.1,5000,0.03,20,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,66.75682677500299,0.57,-1.010599414156788,-1.001832352239649,0.3435462584332363,1.0,-0.82274123760695,-0.8227412376069501,0.0,-11.185408599302551,268.2967377289154,-32.06620427900159,-10.896115134717434,4825.970749787141,11.530560248818052,6.977604902693798,0.0316988474622197,61
0.0005,3e-05,0.1,5000,0.03,20,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,73.11904195199895,0.52,-1.0073017706866916,-1.0029392823681424,0.3479874967303254,1.0,-0.82274123760695,-0.8227412376069501,0.0,-11.291459395241482,289.5383816973425,-36.863920611655324,-11.051303229051555,8832.010852138705,10.204380122296913,8.091243590905519,0.03473933792701027,67
0.0005,3e-05,0.1,5000,0.003,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,48.1169496069997,0.62,-1.2142008280187055,-1.2902683353179822,0.5204038740526256,0.0,-0.9948462247926808,-1.0000000000000004,0.4254210297433204,-2.933974462360494,-64.28402188220474,8.5265000899739,-2.806572165556964,972.8177301465926,0.2089141830548902,1.5140285311344126,0.0244258345927773,8
0.0005,3e-05,0.1,5000,0.003,20,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,70.55059926599642,0.24,-1.2452301854692194,-1.2308682361261878,0.7269343205261172,0.0,-0.9948462247926808,-1.0000000000000004,0.4254210297433204,2.3730444094780605,-148.67929415448083,14.926140729380345,2.679194251313102,1804.0232844857928,0.4371229801229331,1.823082127159883,0.0203277645304201,16
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,43.502023184999416,0.14,-1.0443989256723412,-1.026330417505,0.4628340145289709,0.0,-0.9948462247926807,-1.0000000000000004,0.42542102974332047,4.727178479010114,347.37291560941327,-40.14935635404335,5.0795716786351806,7392.224175467458,9.123380097412142,9.829421312622573,0.03195610036663766,70
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,43.79673366299539,0.12,-1.0455799693551895,-1.0255525560539067,0.4662539436474168,0.0,-0.9948462247926807,-1.0000000000000004,0.42542102974332047,1.0502232769779312,364.5366901566226,-41.41286041091775,1.233766363157391,12895.605672240774,10.37880629658589,10.3985217622582,0.03229682853252479,68
0.0005,3e-05,0.1,5000,0.03,10,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,45.622951869001554,0.05,-1.3244114085806948,-1.341506231025407,1.4115654942692557,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.04122159721579888,-0.0006615181690484866,0.041899129606529174,-0.0008164456087248605,0.1,4.761642529130714e-08,0.027282910166572787,0.05041778167862645,56
0.0005,3e-05,0.1,5000,0.03,20,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,74.8304222930019,0.05,-1.3244114085806948,-1.341506231031012,1.4115654942635205,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.041221597215743803,-0.0006615181690514529,0.041899129606477514,-0.0008164456087285971,0.09999999999999999,4.761642529129017e-08,0.027282910166571972,0.050417781678814846,71
0.0005,3e-05,0.1,5000,0.003,10,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,47.79572870999982,0.05,-1.3244114085806948,-1.3415070217943506,1.4115662551270107,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.0412216001480156,-0.0006615179427143,0.0418991324018121,-0.0008164454656554,0.1,4.76164993819e-08,0.0272829101966413,0.0504177883166266,7
0.0005,3e-05,0.1,5000,0.003,20,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,72.60974354400241,0.05,-1.3244114085806948,-1.3415062101239776,1.4115655210905764,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.0412215973964555,-0.0006615181572036,0.0418991297738421,-0.0008164455939296,0.0999999999999999,4.761642689211281e-08,0.027282910169713,0.0504177810327381,20
0.0005,3e-05,0.1,5000,0.01,10,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,116.51292032699985,0.05,-1.3244114085806948,-1.341506226936367,1.411565499159285,0.0,-0.9948462247926808,-1.0000000000000002,2.2342674880264077,0.0412215972481159,-0.0006615181668934,0.0418991296363866,-0.0008164456059914,0.0999999999999999,4.7616425571513446e-08,0.027282910167152,0.0504177815564801,33
0.0005,3e-05,0.1,5000,0.01,20,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,188.30507549100005,0.05,-1.3244114085806948,-1.341506231020999,1.4115654942714713,0.0,-0.9948462247926808,-1.0000000000000002,2.2342674880264077,0.0412215972158571,-0.0006615181690465,0.0418991296065851,-0.0008164456087224,0.1,4.761642529100961e-08,0.0272829101665733,0.0504177816784621,45
0.0005,3e-05,0.1,5000,0.03,10,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,49.140590902999975,0.04,-1.3612821219048312,-1.388260157464448,1.4812383435580083,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.03211024501962622,-0.007040464198720948,0.03922667999627118,-0.008481800882989464,1.0,2.182366031278101e-06,0.025885244697572283,0.050379855416093126,59
0.0005,3e-05,0.1,5000,0.03,20,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,90.08493613600149,0.04,-1.3612821219048312,-1.3881031156483647,1.481155591031118,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.032106734104585276,-0.0070416200881706055,0.0392262603059031,-0.008485487156663864,1.0,1.2034035914452374e-06,0.025873544557069292,0.050379799764504477,75
0.0005,3e-05,0.1,5000,0.003,10,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,42.42357234800147,0.04,-1.3612821219048312,-1.3883058728337652,1.4811622893414644,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.032129086496993,-0.0070218691134516,0.0392308641143466,-0.0084644502080547,1.0,2.2118945130480702e-06,0.0258689794026804,0.0503798756540945,11
0.0005,3e-05,0.1,5000,0.003,20,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,73.0394044420027,0.04,-1.3612821219048312,-1.3883478143832508,1.4812080094895212,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.0321133874246428,-0.0070330757212081,0.0392269537389885,-0.00847840571544,1.0,6.881667873947548e-07,0.025863999380159,0.0503798605894388,21
0.0005,3e-05,0.1,5000,0.01,10,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,124.35922858899994,0.04,-1.3612821219048312,-1.3883506777746972,1.4812025686562134,0.0,-0.9948462247926808,-1.0000000000000002,2.2342674880264077,0.0321103499347028,-0.0070338769872054,0.0392261696570873,-0.0084810705673961,1.0000000000000002,1.155929686181157e-06,0.0258620358866647,0.0503798579450557,36
